Rank,Player_ID,Year,Game,Total_Year,Total_Game,Total_Others,per_of_Game,Total_Overall,per_of_Total,PlayerName,Nationality
1,Parasite,2013,Call of Duty,114353.87,114353.87,0,100.00%,191524.68,59.71%,Chris Duarte,United States 
2,Karma,2013,Call of Duty,114789.11,114289.12,499.99,99.56%,421347.25,27.12%,Damon Barlow,Canada 
3,Killa,2013,Call of Duty,113526.37,113026.37,500,99.56%,172253.94,65.62%,Adam Sloss,United States 
4,MiRx,2013,Call of Duty,112901.37,112901.37,0,100.00%,142730.47,79.10%,Marcus Carter,United States 
5,StaiNViLLe,2013,Call of Duty,56684.23,56684.23,0,100.00%,71420.48,79.37%,Tosh Mcgruder,United States 
6,Rambo,2013,Call of Duty,55829.23,54579.23,1250,97.76%,122718.53,44.48%,Raymond Lussier,Canada 
7,Proofy,2013,Call of Duty,54579.23,54579.23,0,100.00%,93440.37,58.41%,Jordan Cannon,United States 
8,JKap,2013,Call of Duty,54184.23,54184.23,0,100.00%,459367.98,11.80%,Jordan Kaplan,United States 
9,Crimsix,2013,Call of Duty,55917.5,54042.5,1875,96.65%,404601.14,13.36%,Ian Porter,United States 
10,Teepee,2013,Call of Duty,55917.5,54042.5,1875,96.65%,209462.03,25.80%,Tyler Polchow,United States 
11,Aches,2013,Call of Duty,56987.5,53862.5,3125,94.52%,265931.76,20.25%,Patrick Price,United States 
12,MerK,2013,Call of Duty,37095,35220,1875,94.95%,238496.55,14.77%,Joseph Deluca,United States 
13,Scump,2013,Call of Duty,36700,34825,1875,94.89%,306293.68,11.37%,Seth Abner,United States 
14,NaDeSHoT,2013,Call of Duty,36700,34825,1875,94.89%,206096.25,16.90%,Matthew Haag,United States 
15,BigTymer,2013,Call of Duty,36700,34825,1875,94.89%,161364.3,21.58%,William Johnson,United States 
16,Clayster,2013,Call of Duty,32292.5,31042.5,1250,96.13%,287523.25,10.80%,James Eubanks,United States 
17,TuQuick,2013,Call of Duty,26500,26000,500,98.11%,37435.71,69.45%,Aaron Chang,United States 
18,Sharp,2013,Call of Duty,21515,21515,0,100.00%,54091.38,39.78%,Brandon Rodgers,United States 
19,Jurd,2013,Call of Duty,20519.26,20519.26,0,100.00%,91703.9,22.38%,Jordan Crowley,Ireland 
20,John,2013,Call of Duty,22000,20250,1750,92.05%,274441.26,7.38%,Johnathan Perez,United States 
21,Assass1n,2013,Call of Duty,17500,17500,0,100.00%,26700,65.54%,Robert Walsh,United States 
22,Moho,2013,Call of Duty,17500,17500,0,100.00%,21000,83.33%,Joey Morehouse,United States 
23,XLNC,2013,Call of Duty,16808.06,16087.41,720.65,95.71%,70436.9,22.84%,Nicholas Ward,United Kingdom 
24,McGee,2013,Call of Duty,15124.23,15124.22,0.01,100.00%,16735.41,90.37%,Darren McGee,Ireland
25,Theory,2013,Call of Duty,14265,14265,0,100.00%,47815,29.83%,Dylan McGee,United States 
26,LuCkY,2013,Call of Duty,14092.13,14092.13,0,100.00%,14092.13,100.00%,James Rossiter,Ireland
27,Swanny,2013,Call of Duty,12517.96,12217.7,300.26,97.60%,91897.26,13.29%,Callum Swan,United Kingdom
28,Replays,2013,Call of Duty,10812.5,10812.5,0,100.00%,159660.5,6.77%,Chris Crowder,United States 
29,Realize,2013,Call of Duty,10500,10500,0,100.00%,11257.5,93.27%,Derrek Jordan,United States 
30,CompleX,2013,Call of Duty,10500,10500,0,100.00%,10610,98.96%,"Duc, Nguyen Ho",United States 
31,ShAnE,2013,Call of Duty,7762.95,7462.68,300.27,96.13%,47903.33,15.58%,Shane McKerral,United Kingdom
32,Donnyy,2013,Call of Duty,6300,6300,0,100.00%,6319.01,99.70%,Francesco Majolo,Italy 
33,Kolgaa,2013,Call of Duty,6300,6300,0,100.00%,6319.01,99.70%,Leonardo Nisi,Italy 
34,Lukman,2013,Call of Duty,6300,6300,0,100.00%,6300,100.00%,Luca Mancarella,Italy 
35,Gunshy,2013,Call of Duty,5762.68,5462.41,300.27,94.79%,74795.99,7.30%,Thomas Jones,United Kingdom
36,Tommey,2013,Call of Duty,5378.67,4658.02,720.65,86.60%,90131.44,5.17%,Thomas Trewren,United Kingdom
37,Rich,2013,Call of Duty,4803.65,4623.49,180.16,96.25%,6968.94,66.34%,Richard Cook,United Kingdom
38,Monksy,2013,Call of Duty,4623.49,4623.49,0,100.00%,6004.99,76.99%,Ryan Monks,United Kingdom
39,MadCat,2013,Call of Duty,4779.69,4599.52,180.17,96.23%,78336.47,5.87%,Dylan Dally,United Kingdom
40,MarkyB,2013,Call of Duty,4242.74,4242.74,0,100.00%,53914,7.87%,Mark Bryceland,United Kingdom
41,Flux,2013,Call of Duty,4310.91,4130.75,180.16,95.82%,8069.58,51.19%,Ryan Oldfield,United Kingdom
42,Krnage,2013,Call of Duty,3768.83,3768.83,0,100.00%,10330.56,36.48%,Jordy Mercier,France
43,Neslo,2013,Call of Duty,3765,3765,0,100.00%,22578.75,16.67%,Jeremy Olsen,United States 
44,Joshh,2013,Call of Duty,3663.39,3483.22,180.17,95.08%,118696.14,2.93%,Joshua-Lee Shephard,United Kingdom
45,Slacked,2013,Call of Duty,3937.5,3312.5,625,84.13%,97272.15,3.41%,Josiah Berry,United States 
46,SpaceLy,2013,Call of Duty,3937.5,3312.5,625,84.13%,37453.75,8.84%,Michael Schmale,United States 
47,Huhdle,2013,Call of Duty,3937.5,3312.5,625,84.13%,9120.9,36.32%,Josh Piha,United States 
48,Maxxie,2013,Call of Duty,3228.27,3228.26,0.01,100.00%,21353.03,15.12%,Maxime Ebran,France
49,Riskin,2013,Call of Duty,3228.27,3228.26,0.01,100.00%,9212.96,35.04%,Cl?ment Hatt?e,France
