Player_ID,Nationality,Year,Game,Total_Year,Total_Overall
Parasite,United States ,2013,Call of Duty,114353.87,191524.68
Karma,Canada ,2013,Call of Duty,114789.11,421347.25
Killa,United States ,2013,Call of Duty,113526.37,172253.94
MiRx,United States ,2013,Call of Duty,112901.37,142730.47
StaiNViLLe,United States ,2013,Call of Duty,56684.23,71420.48
Rambo,Canada ,2013,Call of Duty,55829.23,122718.53
Proofy,United States ,2013,Call of Duty,54579.23,93440.37
JKap,United States ,2013,Call of Duty,54184.23,459367.98
Crimsix,United States ,2013,Call of Duty,55917.5,404601.14
Teepee,United States ,2013,Call of Duty,55917.5,209462.03
Aches,United States ,2013,Call of Duty,56987.5,265931.76
MerK,United States ,2013,Call of Duty,37095,238496.55
Scump,United States ,2013,Call of Duty,36700,306293.68
NaDeSHoT,United States ,2013,Call of Duty,36700,206096.25
BigTymer,United States ,2013,Call of Duty,36700,161364.3
Clayster,United States ,2013,Call of Duty,32292.5,287523.25
TuQuick,United States ,2013,Call of Duty,26500,37435.71
Sharp,United States ,2013,Call of Duty,21515,54091.38
Jurd,Ireland ,2013,Call of Duty,20519.26,91703.9
John,United States ,2013,Call of Duty,22000,274441.26
Assass1n,United States ,2013,Call of Duty,17500,26700
Moho,United States ,2013,Call of Duty,17500,21000
XLNC,United Kingdom ,2013,Call of Duty,16808.06,70436.9
McGee,Ireland,2013,Call of Duty,15124.23,16735.41
Theory,United States ,2013,Call of Duty,14265,47815
LuCkY,Ireland,2013,Call of Duty,14092.13,14092.13
Swanny,United Kingdom,2013,Call of Duty,12517.96,91897.26
Replays,United States ,2013,Call of Duty,10812.5,159660.5
Realize,United States ,2013,Call of Duty,10500,11257.5
CompleX,United States ,2013,Call of Duty,10500,10610
ShAnE,United Kingdom,2013,Call of Duty,7762.95,47903.33
Donnyy,Italy ,2013,Call of Duty,6300,6319.01
Kolgaa,Italy ,2013,Call of Duty,6300,6319.01
Lukman,Italy ,2013,Call of Duty,6300,6300
Gunshy,United Kingdom,2013,Call of Duty,5762.68,74795.99
Tommey,United Kingdom,2013,Call of Duty,5378.67,90131.44
Rich,United Kingdom,2013,Call of Duty,4803.65,6968.94
Monksy,United Kingdom,2013,Call of Duty,4623.49,6004.99
MadCat,United Kingdom,2013,Call of Duty,4779.69,78336.47
MarkyB,United Kingdom,2013,Call of Duty,4242.74,53914
Flux,United Kingdom,2013,Call of Duty,4310.91,8069.58
Krnage,France,2013,Call of Duty,3768.83,10330.56
Neslo,United States ,2013,Call of Duty,3765,22578.75
Joshh,United Kingdom,2013,Call of Duty,3663.39,118696.14
Slacked,United States ,2013,Call of Duty,3937.5,97272.15
SpaceLy,United States ,2013,Call of Duty,3937.5,37453.75
Huhdle,United States ,2013,Call of Duty,3937.5,9120.9
Maxxie,France,2013,Call of Duty,3228.27,21353.03
Riskin,France,2013,Call of Duty,3228.27,9212.96
Bissell,United Kingdom,2013,Call of Duty,3202.94,4877.47
PHiZZURP,United States ,2013,Call of Duty,2800,19553.22
Xanity,United Kingdom,2013,Call of Duty,3433.33,3433.33
Dedo,United States ,2013,Call of Duty,2680,58276.7
VintaGe,United Kingdom,2013,Call of Duty,2577.94,3451.39
Schillez,United States ,2013,Call of Duty,2500,2750
Nameless,United States ,2013,Call of Duty,2425,109763.41
Jake,United Kingdom,2013,Call of Duty,2608.48,6225.9
Ricky,United States ,2013,Call of Duty,2125,79494.11
TwiZz,United States ,2013,Call of Duty,1800,12704.62
Mboze,United States ,2013,Call of Duty,1550,72446.6
Methodz,United States ,2013,Call of Duty,1550,9055
Torres,Netherlands,2013,Call of Duty,1528.19,2679.9
Saints,United States ,2013,Call of Duty,1500,104342.5
Blfire,United States ,2013,Call of Duty,1500,23836.25
CMPLX,United States ,2013,Call of Duty,1500,1500
Rush,Netherlands,2013,Call of Duty,1478.19,3058.81
Crazy,United Kingdom,2013,Call of Duty,1392.93,1458.42
Broken,France,2013,Call of Duty,1358.49,6451.1
LyaR,United States ,2013,Call of Duty,1300,12230.36
Heist,United States ,2013,Call of Duty,1250,1250
Peatie,United Kingdom,2013,Call of Duty,1207.39,45660.75
Goonjar,Canada ,2013,Call of Duty,1187.5,45452.18
aMaZe,United Kingdom,2013,Call of Duty,1138.45,1388.02
Momo,United Kingdom,2013,Call of Duty,1032.1,1901.57
KyLee,United Kingdom,2013,Call of Duty,1032.1,1032.1
MeLo,United Kingdom,2013,Call of Duty,1015.29,1080.78
oxygenJF,France,2013,Call of Duty,949.76,949.75
